200	200	0.00
800	200	0.00
1200	200	0.00
1550	200	0.00
2000	200	0.00
200	1100	0.00
800	1100	0.00
1200	1100	0.00
1550	1100	0.00
2000	1100	0.00
0	400	0.00
0	500	0.00
2200	400	0.00
2200	500	0.00
200	200	0.00
800	200	0.00
1200	200	0.00
1550	200	0.00
2000	200	0.00
200	1100	0.00
800	1100	0.00
1200	1100	0.00
1550	1100	0.00
2000	1100	0.00
0	400	0.00
0	500	0.00
2200	400	0.00
2200	500	0.00
200	200	0.00
800	200	0.00
1200	200	0.00
1550	200	0.00
2000	200	0.00
200	1100	0.00
800	1100	0.00
1200	1100	0.00
1550	1100	0.00
2000	1100	0.00
0	400	0.00
0	500	0.00
2200	400	0.00
2200	500	0.00
