1         9.976    15-10-2015 14:46
2         9.971    15-10-2015 14:46
3         9.987    15-10-2015 14:46
4         9.983    15-10-2015 14:47
5         9.968    15-10-2015 14:47
6         9.967    15-10-2015 14:47
7         9.961    15-10-2015 14:47
8         9.965    15-10-2015 14:48
9         9.975    15-10-2015 14:48
10         9.989    15-10-2015 14:48
11         9.999    15-10-2015 14:48
12        10.005    15-10-2015 14:49
13        10.023    15-10-2015 14:49
14        10.022    15-10-2015 14:49
15        10.027    15-10-2015 14:50
16        10.037    15-10-2015 14:50
17         9.982    15-10-2015 14:50
18         9.974    15-10-2015 14:51
19         9.983    15-10-2015 14:51
20         9.994    15-10-2015 14:51
21         9.970    15-10-2015 14:51
22         9.936    15-10-2015 14:51
23         9.971    15-10-2015 14:52
24        10.001    15-10-2015 14:52
25         9.994    15-10-2015 14:52
26         9.989    15-10-2015 14:52
27         9.986    15-10-2015 14:53
28         9.964    15-10-2015 14:53
29         9.970    15-10-2015 14:54
30         9.973    15-10-2015 14:54
31         9.977    15-10-2015 14:54
32         9.945    15-10-2015 14:54
33         9.931    15-10-2015 14:54
34         9.968    15-10-2015 14:55
35         9.981    15-10-2015 14:55
36         9.975    15-10-2015 14:55
37         9.966    15-10-2015 14:55
38        10.007    15-10-2015 14:56
39         9.993    15-10-2015 14:56
40         9.979    15-10-2015 14:56
41         9.971    15-10-2015 14:56
42         9.963    15-10-2015 14:56
43         9.964    15-10-2015 14:57
44         9.976    15-10-2015 14:57
45         9.989    15-10-2015 14:57
46         9.995    15-10-2015 14:57
47         9.992    15-10-2015 14:58
48         9.988    15-10-2015 14:58
49         9.999    15-10-2015 14:59
50         9.997    15-10-2015 14:59
51         9.967    15-10-2015 14:59
52         9.969    15-10-2015 14:59
53         9.997    15-10-2015 15:00
54        10.007    15-10-2015 15:00
55        10.017    15-10-2015 15:03
56        10.047    15-10-2015 15:03
57        10.047    15-10-2015 15:03
58        10.039    15-10-2015 15:03
59        10.026    15-10-2015 15:04
60        10.026    15-10-2015 15:04
61        10.020    15-10-2015 15:04
62        10.011    15-10-2015 15:05
63        10.008    15-10-2015 15:05
64        10.013    15-10-2015 15:05
65        10.050    15-10-2015 15:05
66        10.048    15-10-2015 15:06
67        10.038    15-10-2015 15:06
68        10.030    15-10-2015 15:07
69        10.033    15-10-2015 15:07
70        10.039    15-10-2015 15:07
71        10.043    15-10-2015 15:07
72        10.026    15-10-2015 15:07
73        10.016    15-10-2015 15:08
74        10.027    15-10-2015 15:08
75        10.011    15-10-2015 15:08
76        10.045    15-10-2015 15:09
77        10.067    15-10-2015 15:09
78        10.095    15-10-2015 15:09
79        10.136    15-10-2015 15:09
80        10.173    15-10-2015 15:09
81        10.199    15-10-2015 15:10
82        10.148    15-10-2015 15:10
83        10.124    15-10-2015 15:10
84        10.133    15-10-2015 15:10
85        10.073    15-10-2015 15:11
86        10.033    15-10-2015 15:11
