  time  	 temp_tab_dw  	 temp_tab_up  	 temp_pl1  	 temp_pl2  	 temp_pl3  	 temp_amb_pc  	 temp_amb_door  	 rh_amb_pc  	 rh_amb_door  	 press_amb  	 press_diff  
 00:19:13 	 20.569403 	  21.002197 	 19.809515  	 20.879017  	 21.724632  	 21.262665  	 21.641693  	 31.755981  	 28.339233  	 -0.000439  	 38.309614   
 00:49:13 	 20.772483 	  20.995539 	 19.812844  	 20.825750  	 21.724632  	 21.207733  	 21.449432  	 32.129517  	 28.943481  	 -0.000439  	 38.355244   
 01:19:13 	 20.822421 	  21.008856 	 19.826161  	 20.875688  	 21.721302  	 21.460419  	 21.553802  	 30.514526  	 27.603149  	 -0.000330  	 38.514948   
 01:49:13 	 20.819092 	  21.002197 	 19.822832  	 20.855713  	 21.771240  	 21.460419  	 21.619720  	 30.855103  	 27.877808  	 -0.000220  	 38.435096   
 02:19:13 	 20.849055 	  21.002197 	 19.822832  	 20.895663  	 21.754594  	 21.526337  	 21.647186  	 30.767212  	 27.833862  	 -0.000439  	 38.383762   
 02:49:13 	 20.842396 	  20.995539 	 19.822832  	 20.869030  	 21.721302  	 21.537323  	 21.641693  	 30.448608  	 27.515259  	 -0.000220  	 38.332429   
 03:19:13 	 20.802446 	  20.982222 	 19.819502  	 20.882346  	 21.744607  	 21.504364  	 21.636200  	 29.229126  	 26.372681  	 -0.000439  	 38.343836   
 03:49:13 	 20.832409 	  20.982222 	 19.819502  	 20.872359  	 21.761253  	 21.504364  	 21.625214  	 29.086304  	 26.207886  	 -0.000439  	 38.383762   
 04:19:13 	 20.862371 	  20.982222 	 19.812844  	 20.859042  	 21.727961  	 21.515350  	 21.641693  	 28.690796  	 25.845337  	 -0.000330  	 38.349540   
 04:49:13 	 20.832409 	  20.978893 	 19.812844  	 20.898992  	 21.721302  	 21.542816  	 21.636200  	 27.877808  	 25.098267  	 -0.000220  	 38.469318   
