  time  	  press_table  	 press_stiffback  
 00:06:01 	 -0.008789 	  -0.002930  
  time  	  press_table  	 press_stiffback  
 00:12:04 	 -0.008789 	  -0.001953  
  time  	  press_table  	 press_stiffback  
 00:20:19 	 -0.009766 	  -0.000977  
 00:36:01 	 -0.008789 	  -0.002930  
 00:42:04 	 -0.008789 	  -0.002930  
 00:50:19 	 -0.008789 	  -0.001953  
 01:06:01 	 -0.009766 	  -0.001953  
 01:12:04 	 -0.009766 	  -0.001953  
 01:20:19 	 -0.008789 	  -0.002930  
 01:36:01 	 -0.009766 	  -0.002930  
 01:42:04 	 -0.008789 	  -0.001953  
 01:50:19 	 -0.008789 	  -0.001953  
 02:06:01 	 -0.008789 	  -0.002930  
 02:12:04 	 -0.008789 	  -0.002930  
 02:20:19 	 -0.008789 	  -0.001953  
 02:36:01 	 -0.008789 	  -0.002930  
 02:42:04 	 -0.008789 	  -0.001953  
 02:50:19 	 -0.008789 	  -0.002930  
 03:06:01 	 -0.009766 	  -0.002930  
 03:12:04 	 -0.008789 	  -0.002930  
 03:20:19 	 -0.008789 	  -0.003906  
 03:36:01 	 -0.008789 	  -0.002930  
 03:42:04 	 -0.008789 	  -0.001953  
 03:50:19 	 -0.008789 	  -0.002930  
 04:06:01 	 -0.008789 	  -0.001953  
 04:12:04 	 -0.008789 	  -0.002930  
 04:20:19 	 -0.008789 	  -0.001953  
 04:36:01 	 -0.008789 	  -0.001953  
 04:42:04 	 -0.009766 	  -0.001953  
 04:50:19 	 -0.008789 	  -0.001953  
 05:06:01 	 -0.009766 	  -0.001953  
 05:12:04 	 -0.009766 	  -0.002930  
 05:20:19 	 -0.008789 	  -0.002930  
 05:36:01 	 -0.008789 	  -0.001953  
 05:42:04 	 -0.009766 	  -0.001953  
 05:50:19 	 -0.009766 	  -0.002930  
 06:06:01 	 -0.009766 	  -0.001953  
 06:12:04 	 -0.007812 	  -0.001953  
 06:20:19 	 -0.008789 	  -0.002930  
 06:36:01 	 -0.009766 	  -0.002930  
 06:42:04 	 -0.008789 	  -0.002930  
 06:50:19 	 -0.008789 	  -0.002930  
 07:06:01 	 -0.009766 	  -0.001953  
 07:12:04 	 -0.008789 	  -0.002930  
 07:20:19 	 -0.009766 	  -0.001953  
 07:36:01 	 -0.008789 	  -0.000977  
 07:42:04 	 -0.008789 	  -0.002930  
 07:50:19 	 -0.009766 	  -0.002930  
 08:06:01 	 -0.008789 	  -0.002930  
 08:12:04 	 -0.008789 	  -0.002930  
 08:20:19 	 -0.008789 	  -0.001953  
 08:36:01 	 -0.008789 	  -0.002930  
 08:42:04 	 -0.008789 	  -0.001953  
 08:50:19 	 -0.008789 	  -0.001953  
 09:06:01 	 -0.008789 	  -0.001953  
 09:12:04 	 -0.009766 	  -0.001953  
 09:20:19 	 -0.008789 	  -0.001953  
 09:36:01 	 -0.307617 	  -0.351562  
 09:42:04 	 -0.306641 	  -0.349609  
 09:50:19 	 -0.308594 	  -0.414062  
 10:06:01 	 -0.312500 	  -0.418945  
 10:12:04 	 -0.315430 	  -0.422852  
 10:20:19 	 -0.314453 	  -0.419922  
 10:36:01 	 -0.304688 	  -0.390625  
 10:42:04 	 -0.299805 	  -0.383789  
 10:50:19 	 -0.308594 	  -0.400391  
 11:06:01 	 -0.315430 	  -0.418945  
 11:12:04 	 -0.305664 	  -0.396484  
 11:20:19 	 -0.317383 	  -0.416016  
 11:36:01 	 -0.311523 	  -0.404297  
 11:42:04 	 -0.319336 	  -0.415039  
 11:50:19 	 -0.310547 	  -0.401367  
 12:06:01 	 -0.307617 	  -0.394531  
 12:12:04 	 -0.322266 	  -0.421875  
 12:20:19 	 -0.317383 	  -0.407227  
 12:36:01 	 -0.319336 	  -0.410156  
 12:42:04 	 -0.310547 	  -0.398438  
 12:50:19 	 -0.306641 	  -0.389648  
 13:06:01 	 -0.310547 	  -0.393555  
 13:12:04 	 -0.322266 	  -0.411133  
 13:20:19 	 -0.321289 	  -0.409180  
 13:36:01 	 -0.320312 	  -0.412109  
 13:42:04 	 -0.310547 	  -0.398438  
 13:50:19 	 -0.306641 	  -0.391602  
 14:06:01 	 -0.315430 	  -0.405273  
 14:12:04 	 -0.319336 	  -0.409180  
 14:20:19 	 -0.320312 	  -0.409180  
 14:36:01 	 -0.307617 	  -0.392578  
 14:42:04 	 -0.318359 	  -0.410156  
 14:50:19 	 -0.312500 	  -0.400391  
 15:06:01 	 -0.323242 	  -0.413086  
 15:12:04 	 -0.318359 	  -0.408203  
 15:20:19 	 -0.312500 	  -0.400391  
 15:36:01 	 -0.320312 	  -0.410156  
 15:42:04 	 -0.319336 	  -0.409180  
 15:50:19 	 -0.314453 	  -0.402344  
 16:06:01 	 -0.320312 	  -0.406250  
 16:12:04 	 -0.312500 	  -0.399414  
 16:20:19 	 -0.307617 	  -0.390625  
 16:36:01 	 -0.320312 	  -0.409180  
 16:42:04 	 -0.310547 	  -0.396484  
 16:50:19 	 -0.305664 	  -0.388672  
 17:06:01 	 -0.319336 	  -0.408203  
 17:12:04 	 -0.310547 	  -0.392578  
 17:20:19 	 -0.309570 	  -0.393555  
 17:36:01 	 -0.321289 	  -0.411133  
 17:42:04 	 -0.308594 	  -0.392578  
 17:50:19 	 -0.304688 	  -0.387695  
 18:06:01 	 -0.322266 	  -0.411133  
 18:12:04 	 -0.314453 	  -0.403320  
 18:20:19 	 -0.316406 	  -0.405273  
 18:36:01 	 -0.315430 	  -0.400391  
 18:42:04 	 -0.315430 	  -0.405273  
 18:50:19 	 -0.315430 	  -0.406250  
 19:06:01 	 -0.305664 	  -0.388672  
 19:12:04 	 -0.322266 	  -0.411133  
 19:20:19 	 -0.320312 	  -0.410156  
 19:36:01 	 -0.305664 	  -0.387695  
 19:42:04 	 -0.322266 	  -0.412109  
 19:50:19 	 -0.316406 	  -0.402344  
 20:06:01 	 -0.322266 	  -0.412109  
 20:12:04 	 -0.308594 	  -0.393555  
 20:20:19 	 -0.307617 	  -0.390625  
 20:36:01 	 -0.322266 	  -0.412109  
 20:42:04 	 -0.307617 	  -0.391602  
 20:50:19 	 -0.313477 	  -0.401367  
 21:06:01 	 -0.320312 	  -0.408203  
 21:12:04 	 -0.311523 	  -0.399414  
 21:20:19 	 -0.306641 	  -0.392578  
 21:36:01 	 -0.305664 	  -0.388672  
 21:42:04 	 -0.320312 	  -0.409180  
 21:50:19 	 -0.319336 	  -0.409180  
 22:06:01 	 -0.309570 	  -0.394531  
 22:12:04 	 -0.321289 	  -0.412109  
 22:20:19 	 -0.321289 	  -0.412109  
 22:36:01 	 -0.321289 	  -0.411133  
 22:42:04 	 -0.313477 	  -0.402344  
 22:50:19 	 -0.322266 	  -0.413086  
 23:06:01 	 -0.314453 	  -0.403320  
 23:12:04 	 -0.304688 	  -0.387695  
 23:20:19 	 -0.320312 	  -0.409180  
 23:36:01 	 -0.313477 	  -0.402344  
 23:42:04 	 -0.321289 	  -0.410156  
 23:50:19 	 -0.313477 	  -0.398438  
