  time  	  press_table  	 press_stiffback  
 00:03:15 	 -0.008789 	  -0.445312  
  time  	  press_table  	 press_stiffback  
 00:03:17 	 -0.009766 	  -0.448242  
  time  	  press_table  	 press_stiffback  
 00:09:41 	 -0.008789 	  -0.450195  
 00:33:15 	 -0.008789 	  -0.437500  
 00:33:17 	 -0.008789 	  -0.436523  
 00:39:41 	 -0.008789 	  -0.436523  
 01:03:15 	 -0.008789 	  -0.444336  
 01:03:17 	 -0.008789 	  -0.443359  
 01:09:41 	 -0.009766 	  -0.443359  
 01:33:15 	 -0.007812 	  -0.455078  
 01:33:17 	 -0.008789 	  -0.454102  
 01:39:41 	 -0.009766 	  -0.449219  
 02:03:15 	 -0.008789 	  -0.430664  
 02:03:17 	 -0.007812 	  -0.431641  
 02:09:41 	 -0.008789 	  -0.431641  
 02:33:15 	 -0.008789 	  -0.438477  
 02:33:17 	 -0.008789 	  -0.438477  
 02:39:41 	 -0.008789 	  -0.437500  
 03:03:15 	 -0.008789 	  -0.446289  
 03:03:17 	 -0.009766 	  -0.446289  
 03:09:41 	 -0.008789 	  -0.439453  
 03:33:15 	 -0.008789 	  -0.443359  
 03:33:17 	 -0.008789 	  -0.442383  
 03:39:41 	 -0.008789 	  -0.442383  
 04:03:15 	 -0.008789 	  -0.445312  
 04:03:17 	 -0.007812 	  -0.446289  
 04:09:41 	 -0.008789 	  -0.440430  
 04:33:15 	 -0.008789 	  -0.448242  
 04:33:17 	 -0.009766 	  -0.448242  
 04:39:41 	 -0.008789 	  -0.443359  
 05:03:15 	 -0.008789 	  -0.441406  
 05:03:17 	 -0.008789 	  -0.441406  
 05:09:41 	 -0.006836 	  -0.435547  
 05:33:15 	 -0.009766 	  -0.447266  
 05:33:17 	 -0.009766 	  -0.444336  
 05:39:41 	 -0.008789 	  -0.440430  
 06:03:15 	 -0.008789 	  -0.448242  
 06:03:17 	 -0.008789 	  -0.449219  
 06:09:41 	 -0.008789 	  -0.449219  
 06:33:15 	 -0.008789 	  -0.431641  
 06:33:17 	 -0.007812 	  -0.431641  
 06:39:41 	 -0.008789 	  -0.454102  
 07:03:15 	 -0.007812 	  -0.451172  
 07:03:17 	 -0.010742 	  -0.451172  
 07:09:41 	 -0.008789 	  -0.446289  
 07:33:15 	 -0.008789 	  -0.449219  
 07:33:17 	 -0.008789 	  -0.449219  
 07:39:41 	 -0.008789 	  -0.443359  
 08:03:15 	 -0.009766 	  -0.452148  
 08:03:17 	 -0.008789 	  -0.451172  
 08:09:41 	 -0.008789 	  -0.451172  
 08:33:15 	 -0.009766 	  -0.451172  
 08:33:17 	 -0.008789 	  -0.453125  
 08:39:41 	 -0.008789 	  -0.448242  
 09:03:15 	 -0.008789 	  -0.449219  
 09:03:17 	 -0.008789 	  -0.451172  
