 0 	 -114.000000 	 0 	 -169.110000 	 -114.000000 	 0.088300 	 20.685369 	 20.419034  
 450 	 -114.000000 	 0 	 -169.110000 	 -114.000000 	 -0.081600 	 20.685369 	 20.419034  
 900 	 -114.000000 	 0 	 -169.110000 	 -114.000000 	 -0.014100 	 20.685369 	 20.419034  
 1350 	 -114.000000 	 0 	 -169.110000 	 -114.000000 	 -0.018000 	 20.685369 	 20.419034  
 1800 	 -114.000000 	 0 	 -169.110000 	 -114.000000 	 -0.150000 	 20.685369 	 20.419034  
 1800 	 -114.000000 	 330 	 -499.610000 	 -114.000000 	 -0.105500 	 20.685369 	 20.419034  
 1350 	 -114.000000 	 330 	 -499.610000 	 -114.000000 	 -0.065500 	 20.774148 	 20.419034  
 900 	 -114.000000 	 330 	 -499.610000 	 -114.000000 	 -0.058000 	 20.774148 	 20.507812  
 450 	 -114.000000 	 330 	 -499.610000 	 -114.000000 	 -0.351600 	 20.685369 	 20.507812  
 0 	 -114.000000 	 330 	 -499.610000 	 -114.000000 	 -0.258000 	 20.685369 	 20.419034  
 0 	 -114.005000 	 660 	 -829.950000 	 -114.005000 	 -0.178000 	 20.685369 	 20.419034  
 450 	 -114.005000 	 660 	 -829.950000 	 -114.005000 	 -0.300900 	 20.596591 	 20.507812  
 900 	 -114.005000 	 660 	 -829.950000 	 -114.005000 	 -0.250000 	 20.685369 	 20.330256  
 1350 	 -114.005000 	 660 	 -829.950000 	 -114.005000 	 -0.270000 	 20.685369 	 20.419034  
 1800 	 -114.005000 	 660 	 -829.950000 	 -114.005000 	 -0.279100 	 20.596591 	 20.419034  
 1800 	 -114.000000 	 990 	 -1160.415000 	 -114.000000 	 -0.505500 	 20.685369 	 20.507812  
 1350 	 -114.000000 	 990 	 -1160.415000 	 -114.000000 	 -0.441600 	 20.774148 	 20.507812  
 900 	 -114.000000 	 990 	 -1160.415000 	 -114.000000 	 -0.218000 	 20.685369 	 20.507812  
 450 	 -114.000000 	 990 	 -1160.415000 	 -114.000000 	 -0.384100 	 20.596591 	 20.419034  
 0 	 -114.000000 	 990 	 -1160.415000 	 -114.000000 	 -0.319100 	 20.596591 	 20.507812  
