 0 	 0 	 -63.200000 	 4.394531 	 2.881900 	 20.742520 	 21.718597  
 98 	 18 	 -63.195000 	 4.028320 	 2.433400 	 20.829079 	 21.718597  
 196 	 36 	 -63.195000 	 5.126953 	 2.018000 	 20.839067 	 21.696625  
 294 	 54 	 -63.200000 	 2.929688 	 1.635500 	 20.849055 	 21.718597  
 392 	 72 	 -63.200000 	 3.295898 	 1.288400 	 20.835738 	 21.718597  
 490 	 90 	 -63.200000 	 5.126953 	 0.960000 	 20.852384 	 21.691132  
 588 	 108 	 -63.200000 	 3.295898 	 0.650000 	 20.735862 	 21.691132  
 686 	 126 	 -63.200000 	 2.563477 	 0.410900 	 20.835738 	 21.691132  
 784 	 144 	 -63.200000 	 4.394531 	 0.253000 	 20.849055 	 21.696625  
 882 	 162 	 -63.200000 	 2.563477 	 0.123000 	 20.765825 	 21.696625  
 980 	 180 	 -63.200000 	 2.929688 	 0.043000 	 20.825750 	 21.669159  
 1078 	 198 	 -63.200000 	 3.295898 	 -0.001100 	 20.849055 	 21.674652  
 1176 	 216 	 -63.200000 	 4.028320 	 0.020000 	 20.822421 	 21.674652  
 1274 	 234 	 -63.200000 	 2.929688 	 0.108400 	 20.855713 	 21.691132  
 1372 	 252 	 -63.200000 	 2.563477 	 0.245900 	 20.809104 	 21.680145  
 1470 	 270 	 -63.195000 	 3.295898 	 0.449400 	 20.712558 	 21.707611  
 1568 	 288 	 -63.195000 	 3.662109 	 0.703000 	 20.779142 	 21.729584  
 1666 	 306 	 -63.195000 	 1.464844 	 1.005500 	 20.819092 	 21.735077  
 1764 	 324 	 -63.195000 	 4.028320 	 1.363000 	 20.775812 	 21.718597  
 1862 	 342 	 -63.195000 	 2.929688 	 1.760900 	 20.862371 	 21.729584  
 1960 	 360 	 -63.195000 	 1.464844 	 2.218000 	 20.829079 	 21.707611  
 2058 	 378 	 -63.195000 	 2.197266 	 2.721900 	 20.825750 	 21.707611  
