 2163 	 400 	 -64.205000 	 4.394531 	 1.988400 	 20.822421 	 21.553802  
 2064 	 381 	 -64.205000 	 1.831055 	 2.143000 	 20.765825 	 21.564789  
 1965 	 362 	 -64.205000 	 2.563477 	 2.278000 	 20.805775 	 21.559296  
 1866 	 343 	 -64.210000 	 4.028320 	 2.363800 	 20.795787 	 21.515350  
 1767 	 324 	 -64.210000 	 4.028320 	 2.416900 	 20.829079 	 21.559296  
 1668 	 305 	 -64.210000 	 3.295898 	 2.438000 	 20.775812 	 21.526337  
 1569 	 286 	 -64.210000 	 4.028320 	 2.453000 	 20.815763 	 21.493378  
 1470 	 267 	 -64.210000 	 4.760742 	 2.490900 	 20.795787 	 21.504364  
 1371 	 248 	 -64.210000 	 2.197266 	 2.550900 	 20.822421 	 21.509857  
 1272 	 229 	 -64.210000 	 3.662109 	 2.605900 	 20.692583 	 21.520844  
 1173 	 210 	 -64.210000 	 2.563477 	 2.648000 	 20.695912 	 21.509857  
 1074 	 191 	 -64.210000 	 3.295898 	 2.691900 	 20.779142 	 21.504364  
 975 	 172 	 -64.210000 	 1.464844 	 2.720900 	 20.735862 	 21.531830  
 876 	 153 	 -64.210000 	 2.929688 	 2.738800 	 20.682595 	 21.531830  
 777 	 134 	 -64.210000 	 2.563477 	 2.710900 	 20.729204 	 21.526337  
 678 	 115 	 -64.210000 	 3.662109 	 2.644400 	 20.665949 	 21.537323  
 579 	 96 	 -64.210000 	 2.563477 	 2.570900 	 20.799117 	 21.548309  
 480 	 77 	 -64.210000 	 3.662109 	 2.469400 	 20.602694 	 21.586761  
 381 	 58 	 -64.210000 	 3.662109 	 2.358800 	 20.725874 	 21.581268  
 282 	 39 	 -64.210000 	 4.760742 	 2.233000 	 20.672607 	 21.564789  
 183 	 20 	 -64.210000 	 2.929688 	 2.088400 	 20.845725 	 21.570282  
 84 	 1 	 -64.210000 	 1.464844 	 1.915500 	 20.782471 	 21.592255  
