1        10.037        10.034        10.020    16-11-2015 15:22
2        10.023        10.023        10.006    16-11-2015 15:23
3        10.009        10.010         9.996    16-11-2015 15:24
4        10.009        10.010         9.999    16-11-2015 15:24
5        10.010        10.014        10.003    16-11-2015 15:25
6        10.017        10.021        10.007    16-11-2015 15:26
7        10.000        10.000         9.983    16-11-2015 15:26
8         9.975         9.974         9.957    16-11-2015 15:27
9        10.001        10.007        10.001    16-11-2015 15:27
10        10.004        10.017        10.018    16-11-2015 15:28
11        10.004        10.021        10.024    16-11-2015 15:29
12         9.991        10.014        10.019    16-11-2015 15:29
1        10.038        10.035        10.020    16-11-2015 15:13
2        10.025        10.025        10.007    16-11-2015 15:14
3        10.008        10.011         9.996    16-11-2015 15:15
4        10.009        10.010         9.998    16-11-2015 15:16
5        10.006        10.015        10.005    16-11-2015 15:16
6        10.016        10.021        10.007    16-11-2015 15:17
7        10.004        10.002         9.981    16-11-2015 15:18
8         9.972         9.973         9.958    16-11-2015 15:18
9         9.999        10.007        10.000    16-11-2015 15:19
10        10.007        10.019        10.015    16-11-2015 15:20
11        10.003        10.023        10.026    16-11-2015 15:20
12         9.995        10.020        10.019    16-11-2015 15:21
1        10.036        10.036        10.023    16-11-2015 14:59
2        10.023        10.027        10.005    16-11-2015 15:00
3        10.009        10.012        10.001    16-11-2015 15:01
4        10.011        10.012         9.997    16-11-2015 15:02
5        10.009        10.014        10.005    16-11-2015 15:02
6        10.019        10.023        10.011    16-11-2015 15:03
7        10.001        10.001         9.985    16-11-2015 15:04
8         9.974         9.973         9.957    16-11-2015 15:04
9        10.001        10.008        10.000    16-11-2015 15:05
10        10.007        10.021        10.021    16-11-2015 15:06
11        10.005        10.025        10.027    16-11-2015 15:07
12         9.998        10.019        10.022    16-11-2015 15:08
1        10.035        10.037        10.022    16-11-2015 14:50
2        10.026        10.028        10.008    16-11-2015 14:51
3        10.011        10.012         9.998    16-11-2015 14:51
4        10.010        10.012         9.999    16-11-2015 14:52
5        10.011        10.016        10.003    16-11-2015 14:53
6        10.019        10.022        10.010    16-11-2015 14:53
7        10.004        10.004         9.984    16-11-2015 14:54
8         9.974         9.974         9.956    16-11-2015 14:55
9         9.998        10.008        10.000    16-11-2015 14:55
10        10.008        10.021        10.018    16-11-2015 14:56
11        10.006        10.026        10.028    16-11-2015 14:57
12        10.000        10.021        10.024    16-11-2015 14:58
1        10.037        10.035        10.019    16-11-2015 14:35
2        10.024        10.027        10.011    16-11-2015 14:36
3        10.009        10.012         9.997    16-11-2015 14:36
4        10.008        10.011         9.995    16-11-2015 14:37
5        10.007        10.013        10.002    16-11-2015 14:38
6        10.016        10.020        10.005    16-11-2015 14:39
7        10.001        10.002         9.981    16-11-2015 14:40
8         9.972         9.974         9.953    16-11-2015 14:41
9        10.000        10.008         9.997    16-11-2015 14:41
10        10.006        10.021        10.021    16-11-2015 14:42
11        10.009        10.027        10.028    16-11-2015 14:43
12        10.000        10.024        10.026    16-11-2015 14:44
