1         25.924     23-11-2015 15:25
2         25.935     23-11-2015 15:25
3         25.941     23-11-2015 15:26
4         25.947     23-11-2015 15:26
5         25.943     23-11-2015 15:26
6         25.929     23-11-2015 15:27
7         25.925     23-11-2015 15:27
8         25.927     23-11-2015 15:27
9         25.925     23-11-2015 15:27
10         25.929     23-11-2015 15:28
11         25.936     23-11-2015 15:28
12         25.927     23-11-2015 15:28
1         25.939     23-11-2015 15:35
2         25.930     23-11-2015 15:35
3         25.920     23-11-2015 15:35
4         25.911     23-11-2015 15:35
5         25.912     23-11-2015 15:35
6         25.917     23-11-2015 15:36
7         25.919     23-11-2015 15:36
8         25.926     23-11-2015 15:36
9         25.924     23-11-2015 15:36
10         25.938     23-11-2015 15:37
11         25.936     23-11-2015 15:37
12         25.932     23-11-2015 15:37
