, Z,
,,
,,
,,
1,    25.915,19-01-2016 11:25
2,    25.924,19-01-2016 11:26
3,    25.892,19-01-2016 11:26
4,    25.901,19-01-2016 11:26
5,    25.899,19-01-2016 11:26
6,    25.904,19-01-2016 11:26
7,    25.908,19-01-2016 11:26
8,    25.903,19-01-2016 11:26
9,    25.896,19-01-2016 11:26
10,    25.906,19-01-2016 11:26
11,    25.897,19-01-2016 11:27
12,    25.888,19-01-2016 11:27
