, Z,
,,
,,
,,
1,    25.917,19-01-2016 11:28
2,    25.901,19-01-2016 11:28
3,    25.911,19-01-2016 11:28
4,    25.912,19-01-2016 11:28
5,    25.902,19-01-2016 11:28
6,    25.901,19-01-2016 11:28
7,    25.905,19-01-2016 11:28
8,    25.910,19-01-2016 11:28
9,    25.908,19-01-2016 11:28
10,    25.930,19-01-2016 11:28
11,    25.898,19-01-2016 11:29
12,    25.921,19-01-2016 11:29
