, Z,
,,
,,
,,
1,    25.908,19-01-2016 11:38
2,    25.900,19-01-2016 11:38
3,    25.909,19-01-2016 11:38
4,    25.892,19-01-2016 11:38
5,    25.898,19-01-2016 11:38
6,    25.902,19-01-2016 11:38
7,    25.898,19-01-2016 11:38
8,    25.888,19-01-2016 11:38
9,    25.901,19-01-2016 11:39
10,    25.929,19-01-2016 11:39
11,    25.984,19-01-2016 11:39
